ASIN,Group_int,TF_IDF
0827229534,0,"  (0, 613)	0.710853777569741
  (0, 574)	0.7033398232112478"
0738700797,0,
0842328327,0,"  (0, 165)	0.5472994155787305
  (0, 87)	0.43967630000038366
  (0, 51)	0.5971287100048215
  (0, 449)	0.3880533527920232"
1577943082,0,"  (0, 113)	0.6354191642784519
  (0, 612)	0.7721673948488591"
0486220125,0,"  (0, 883)	0.5747933196877186
  (0, 543)	0.37258528683370984
  (0, 764)	0.47958176788831436
  (0, 461)	0.5484470544970895"
B00000AU3R,1,
0231118597,0,
0375709363,0,"  (0, 643)	1.0"
0871318237,0,"  (0, 449)	1.0"
1590770218,0,"  (0, 293)	0.484680096503327
  (0, 472)	0.5066639109008253
  (0, 649)	0.4370997665776335
  (0, 352)	0.3631056257274807
  (0, 309)	0.4306680671550181"
1559362022,0,
0195110382,0,"  (0, 390)	0.39687981611185547
  (0, 876)	0.29957724272728437
  (0, 378)	0.31326271567812775
  (0, 692)	0.4270168140813863
  (0, 845)	0.6872139395127871"
0849311012,0,"  (0, 482)	1.0"
B000007R0T,1,"  (0, 728)	1.0"
078510870X,0,"  (0, 823)	1.0"
3895780812,0,"  (0, 52)	0.4539225170254755
  (0, 631)	0.5261639911702537
  (0, 786)	0.5261639911702537
  (0, 319)	0.4901604403956274"
0790747324,2,"  (0, 803)	1.0"
B00005NTSV,1,"  (0, 162)	1.0"
0939165252,0,"  (0, 868)	0.5615216097133423
  (0, 39)	0.47140711173566874
  (0, 315)	0.6800505987277504"
1590930509,0,"  (0, 459)	0.6249226334844806
  (0, 132)	0.7806866862953546"
0231096704,0,"  (0, 458)	0.5880543663718517
  (0, 325)	0.5880543663718517
  (0, 50)	0.5553234412322245"
1893732290,0,"  (0, 851)	0.3860095239250745
  (0, 5)	0.3860095239250745
  (0, 245)	0.3594965114998358
  (0, 487)	0.38848847089702276
  (0, 339)	0.6494861515673881"
0781718791,0,"  (0, 717)	0.5039417211609962
  (0, 61)	0.4914126093557023
  (0, 152)	0.5005987721846761
  (0, 28)	0.5039417211609962"
0471150274,0,"  (0, 620)	1.0"
0895872218,0,"  (0, 382)	0.4847850066233569
  (0, 359)	0.3313526029370266
  (0, 732)	0.599689498907629
  (0, 184)	0.543655639886101"
0761116982,0,
0439240751,0,"  (0, 235)	1.0"
B000002O8D,1,"  (0, 841)	0.37729325965674654
  (0, 347)	0.5798212168138148
  (0, 732)	0.5680178459488086
  (0, 339)	0.445884378997302"
0787950599,0,"  (0, 170)	0.5514272229456944
  (0, 871)	0.7056993717885641
  (0, 359)	0.4448779770359794"
0312199406,0,"  (0, 549)	0.5094206155262221
  (0, 240)	0.6475137888724353
  (0, 544)	0.5667596754330256"
B000056PNB,2,
0486268780,0,"  (0, 253)	0.43591868806639433
  (0, 802)	0.45665504055878375
  (0, 236)	0.4259638616322601
  (0, 602)	0.43959001854807916
  (0, 700)	0.4761895373724222"
1861007418,0,"  (0, 830)	0.5329766433335091
  (0, 541)	0.6114353778908584
  (0, 83)	0.5848783431829294"
0826449379,0,"  (0, 135)	0.38462615044422194
  (0, 150)	0.3791544399568256
  (0, 179)	0.4862347708988273
  (0, 298)	0.47317425641785427
  (0, 458)	0.49798243511981477"
0439420717,0,"  (0, 12)	0.5321738757084852
  (0, 532)	0.8466350843270137"
B00004W1WI,1,"  (0, 530)	1.0"
B00004W1WK,1,"  (0, 449)	1.0"
0687054532,0,"  (0, 496)	0.381466245167965
  (0, 432)	0.39065085349266054
  (0, 143)	0.32612268761203006
  (0, 251)	0.7716990391905487"
0875420532,0,"  (0, 703)	0.29996716769023773
  (0, 33)	0.45898192484831324
  (0, 476)	0.5264058262835877
  (0, 471)	0.381133888197609
  (0, 698)	0.42135421209279755
  (0, 543)	0.3153565985422815"
0613100093,0,"  (0, 101)	0.5004079255024347
  (0, 376)	0.6483110206023154
  (0, 89)	0.5738333631464225"
6303360041,3,"  (0, 369)	0.6423836815287809
  (0, 464)	0.7663831976925966"
0393971694,0,"  (0, 398)	0.2679623734953405
  (0, 546)	0.3277571005747008
  (0, 271)	0.3089122736036225
  (0, 855)	0.31352132520010967
  (0, 531)	0.76046693769403
  (0, 378)	0.22076927311036984"
0026879077,0,"  (0, 790)	0.716666282516576
  (0, 375)	0.6974162598505079"
0966723821,0,"  (0, 424)	0.6636180664140474
  (0, 117)	0.7480715620372701"
0689846088,0,"  (0, 141)	0.5275003033419227
  (0, 110)	0.5839796653369119
  (0, 129)	0.6170179741686362"
0273651870,0,"  (0, 113)	1.0"
0393037622,0,"  (0, 498)	0.5300571940184273
  (0, 712)	0.5199643004725412
  (0, 94)	0.5506111475717408
  (0, 378)	0.38144968406480934"
0810114275,0,"  (0, 585)	0.4569911226683267
  (0, 53)	0.4137724127935935
  (0, 627)	0.4848693242481504
  (0, 495)	0.4848693242481504
  (0, 764)	0.3869818871983473"
0415925398,0,"  (0, 876)	0.7204536652391058
  (0, 543)	0.6935030758717213"
B0000060T5,3,"  (0, 85)	0.48058173250033986
  (0, 30)	0.5798041252311222
  (0, 633)	0.6579273324250522"
157281196X,0,"  (0, 539)	0.5968452129429299
  (0, 415)	0.6032203814665964
  (0, 606)	0.5290566729287163"
0375803394,0,"  (0, 371)	0.5768773186098141
  (0, 593)	0.5874516801922891
  (0, 579)	0.5675500706658468"
0786863919,0,"  (0, 260)	0.5569217266413992
  (0, 553)	0.5686420215352588
  (0, 827)	0.6053795848383532"
0312982178,0,"  (0, 849)	1.0"
0874850037,0,"  (0, 182)	1.0"
0811726371,0,"  (0, 705)	0.3247851584215298
  (0, 510)	0.6325692706510595
  (0, 806)	0.6706873926107456
  (0, 449)	0.21106667214434452"
1884997015,0,"  (0, 282)	0.5332421450529541
  (0, 680)	0.5332421450529541
  (0, 633)	0.5129838090005535
  (0, 339)	0.41006492313038917"
6304286961,3,
0140430407,0,"  (0, 448)	0.43974307778523763
  (0, 265)	0.4647484927755939
  (0, 577)	0.4902807795152845
  (0, 282)	0.5918273576311465"
B000063W82,3,"  (0, 252)	0.3108834926942005
  (0, 49)	0.4816190017128048
  (0, 15)	0.5429108958184055
  (0, 671)	0.4877107007956871
  (0, 85)	0.37253271358426027"
0415157528,0,"  (0, 100)	0.3371277715189645
  (0, 82)	0.5809434353450581
  (0, 185)	0.5310313042788766
  (0, 703)	0.33901549350700305
  (0, 170)	0.38977408795123525"
0671727737,0,
1566913810,0,"  (0, 250)	0.661200042264465
  (0, 170)	0.4757118841447273
  (0, 359)	0.383792696232414
  (0, 543)	0.4349895098868446"
037575380X,0,"  (0, 565)	0.44472717215278057
  (0, 519)	0.44775421605516486
  (0, 93)	0.46242233940993155
  (0, 448)	0.43992880367387316
  (0, 549)	0.4408652085008939"
039572774X,0,"  (0, 225)	0.7698581037197232
  (0, 39)	0.6382150892427035"
0310485002,0,"  (0, 139)	1.0"
042515517X,0,"  (0, 880)	1.0"
B0000646IJ,1,"  (0, 175)	0.7531593476952364
  (0, 837)	0.3728548702512736
  (0, 106)	0.38976658650276
  (0, 235)	0.3765796738476182"
0071402306,0,"  (0, 556)	0.8794298216034208
  (0, 359)	0.47602855888546824"
0787958743,0,"  (0, 615)	0.3495761109795956
  (0, 812)	0.301579870250927
  (0, 768)	0.32307919563389825
  (0, 775)	0.30480117864798195
  (0, 558)	0.34527961036694743
  (0, 120)	0.2848837396634761
  (0, 367)	0.2788642597779393
  (0, 221)	0.29059759711344463
  (0, 255)	0.33129809399367927
  (0, 53)	0.2882244630616931
  (0, 359)	0.1847740183432718"
0743509315,0,"  (0, 606)	1.0"
1858685486,0,"  (0, 839)	1.0"
0151803870,0,"  (0, 267)	0.6902592001353487
  (0, 700)	0.7235621857370025"
0820451576,0,"  (0, 272)	0.4165056582699295
  (0, 430)	0.39813892197470924
  (0, 196)	0.7106811940240774
  (0, 841)	0.28853245463668087
  (0, 449)	0.2822936388227561"
1555919332,0,"  (0, 782)	0.3989249053848527
  (0, 484)	0.3304697008708119
  (0, 396)	0.41189367448374037
  (0, 198)	0.3952147337616986
  (0, 217)	0.3989249053848527
  (0, 437)	0.33379712241594167
  (0, 61)	0.36774449382488084"
